time,co,no,no2,so2,o3
2022-01-08 17:00:00,169.24968,0.029904878,3.3630786,1.4134105,66.18807
2022-01-08 18:00:00,170.66371,0.026225142,3.4568536,1.453219,65.46964
2022-01-08 19:00:00,172.37115,0.028483195,3.4420807,1.4715286,64.8648
2022-01-08 20:00:00,172.88719,0.029794281,3.3312898,1.4869908,64.49543
2022-01-08 21:00:00,173.07767,0.028597217,3.2037766,1.4596283,64.24068
2022-01-08 22:00:00,172.25983,0.025402162,3.0484762,1.4344833,64.09618
2022-01-08 23:00:00,171.314,0.02053512,2.8889909,1.4124002,63.915047
2022-01-09 00:00:00,170.07463,0.016741762,2.711655,1.3793337,63.665714
2022-01-09 01:00:00,169.17058,0.01410654,2.564468,1.3409541,63.521782
2022-01-09 02:00:00,168.57298,0.011397629,2.4330533,1.314817,63.289852
2022-01-09 03:00:00,167.23453,0.009759415,2.3225048,1.3007663,63.16344
2022-01-09 04:00:00,166.67462,0.010583186,2.263595,1.2942259,63.027767
2022-01-09 05:00:00,166.87851,0.020670341,2.2627282,1.308744,62.865723
2022-01-09 06:00:00,166.77037,0.05158352,2.282779,1.3261867,62.71579
2022-01-09 07:00:00,166.72427,0.09491053,2.318405,1.3593373,62.69461
2022-01-09 08:00:00,166.04556,0.16842023,2.3091242,1.369262,62.78975
2022-01-09 09:00:00,164.97829,0.24402554,2.280888,1.3642576,63.15775
2022-01-09 10:00:00,163.826,0.28954697,2.2569501,1.3693261,63.91628
2022-01-09 11:00:00,162.91612,0.2964809,2.2420456,1.354709,64.72511
2022-01-09 12:00:00,162.39395,0.27200198,2.2776818,1.337804,65.30805
2022-01-09 13:00:00,162.11942,0.22485024,2.370094,1.3113186,65.7432
2022-01-09 14:00:00,163.31082,0.15438385,2.5539258,1.3069086,65.7218
2022-01-09 15:00:00,164.77925,0.0801388,2.8085437,1.3048569,65.32392
2022-01-09 16:00:00,166.76747,0.044000722,3.08786,1.3064145,64.50419
2022-01-09 17:00:00,169.4808,0.029914059,3.3425868,1.3042215,63.60486
2022-01-09 18:00:00,171.67963,0.025812378,3.4868026,1.3069417,62.888264
2022-01-09 19:00:00,173.43204,0.025575764,3.531655,1.304015,62.24782
2022-01-09 20:00:00,174.24268,0.02440925,3.510221,1.2824855,61.745815
2022-01-09 21:00:00,174.5606,0.022029147,3.456273,1.2632886,61.340233
2022-01-09 22:00:00,174.32852,0.018444382,3.3292818,1.2395362,61.04603
2022-01-09 23:00:00,173.3449,0.015651977,3.1623683,1.2059703,60.856777
2022-01-10 00:00:00,172.38544,0.0134422835,3.0049171,1.1757082,60.661804
2022-01-10 01:00:00,171.36198,0.013210483,2.8514683,1.1445247,60.47873
2022-01-10 02:00:00,170.5396,0.013531618,2.7212887,1.1259769,60.2693
2022-01-10 03:00:00,168.82837,0.014268956,2.6200695,1.1051656,60.17268
2022-01-10 04:00:00,168.53206,0.017669054,2.6192322,1.1078931,59.987686
2022-01-10 05:00:00,168.72517,0.029435985,2.8029797,1.123995,59.736267
2022-01-10 06:00:00,169.63329,0.06725658,3.1245124,1.157527,59.483116
2022-01-10 07:00:00,170.27383,0.13723934,3.4786997,1.1806571,59.34938
2022-01-10 08:00:00,170.48431,0.25296706,3.672022,1.1966991,59.36152
2022-01-10 09:00:00,169.89798,0.394331,3.5697246,1.2029961,59.830524
2022-01-10 10:00:00,168.51465,0.4745659,3.369021,1.2045401,60.69678
2022-01-10 11:00:00,167.66042,0.4863763,3.239121,1.2022574,61.595654
2022-01-10 12:00:00,167.06013,0.45293728,3.2014115,1.1914359,62.36179
2022-01-10 13:00:00,166.91664,0.3907997,3.2942455,1.1776291,62.85527
2022-01-10 14:00:00,167.32524,0.29790306,3.519401,1.1697032,62.983307
2022-01-10 15:00:00,168.85805,0.1817254,3.8461442,1.1714517,62.67151
2022-01-10 16:00:00,170.78711,0.10619542,4.166984,1.1707796,62.11498
2022-01-10 17:00:00,172.97751,0.08401489,4.35212,1.1825956,61.51407
2022-01-10 18:00:00,174.84537,0.074263655,4.3276377,1.2006953,61.061516
2022-01-10 19:00:00,175.59467,0.06328335,4.2578225,1.210067,60.803204
2022-01-10 20:00:00,176.0759,0.051912874,4.098928,1.204658,60.654224
2022-01-10 21:00:00,176.44368,0.04315208,3.9066262,1.1887661,60.47674
2022-01-10 22:00:00,176.1337,0.033786483,3.685649,1.1573404,60.37298
2022-01-10 23:00:00,175.37422,0.023691751,3.4497573,1.1335601,60.342747
2022-01-11 00:00:00,174.52895,0.017213942,3.2360437,1.1153982,60.275917
2022-01-11 01:00:00,173.46507,0.01316417,3.0126703,1.1097186,60.328857
2022-01-11 02:00:00,172.6378,0.0106564155,2.867006,1.1132601,60.28322
2022-01-11 03:00:00,171.99211,0.009680006,2.7635658,1.1185443,60.239246
2022-01-11 04:00:00,171.75659,0.011671615,2.7500775,1.133617,60.166504
2022-01-11 05:00:00,172.04633,0.021560209,2.8783514,1.1572059,60.01662
2022-01-11 06:00:00,172.6686,0.05748891,3.1443186,1.1880194,59.79636
2022-01-11 07:00:00,173.14911,0.12655318,3.4782207,1.2209096,59.61068
2022-01-11 08:00:00,173.37605,0.2523391,3.651755,1.2437559,59.67306
2022-01-11 09:00:00,172.7968,0.40575358,3.5660946,1.248563,60.184128
2022-01-11 10:00:00,171.32164,0.5049853,3.3399096,1.2428869,61.15366
2022-01-11 11:00:00,170.54349,0.5251363,3.2021568,1.2240711,62.123196
2022-01-11 12:00:00,169.82947,0.492197,3.1708107,1.2123474,63.036182
2022-01-11 13:00:00,169.72716,0.42262262,3.2797818,1.199537,63.626102
2022-01-11 14:00:00,170.60216,0.32160875,3.5253172,1.1978898,63.935783
2022-01-11 15:00:00,171.98674,0.20175873,3.8593347,1.2057264,63.73238
2022-01-11 16:00:00,174.44,0.11605162,4.2613387,1.2017688,63.013695
2022-01-11 17:00:00,177.05168,0.08388367,4.5684423,1.2143149,62.136517
2022-01-11 18:00:00,179.35765,0.07533914,4.6930156,1.2331316,61.346123
2022-01-11 19:00:00,180.57721,0.06771614,4.619189,1.24871,60.84266
2022-01-11 20:00:00,181.34021,0.058527544,4.4342885,1.2480266,60.58716
2022-01-11 21:00:00,180.98965,0.04918559,4.22004,1.2499799,60.395905
2022-01-11 22:00:00,180.69922,0.039733253,4.0025463,1.2296685,60.332565
2022-01-11 23:00:00,179.65897,0.02971137,3.7746208,1.2043412,60.240334
2022-01-12 00:00:00,178.58607,0.0224972,3.5490754,1.1790789,60.16614
2022-01-12 01:00:00,177.81052,0.018915728,3.350472,1.1660823,60.026855
2022-01-12 02:00:00,176.94635,0.017744092,3.2028143,1.1661853,59.88466
2022-01-12 03:00:00,175.84222,0.017668571,3.1051989,1.1564695,59.72677
2022-01-12 04:00:00,175.58395,0.019421497,3.0842757,1.164058,59.554802
2022-01-12 05:00:00,175.64192,0.032483675,3.2003174,1.1891049,59.42272
2022-01-12 06:00:00,175.85162,0.07530561,3.4581637,1.2237626,59.20403
2022-01-12 07:00:00,176.97609,0.16504943,3.7902663,1.2620116,59.03415
2022-01-12 08:00:00,176.81548,0.3265975,3.914693,1.2874473,59.234116
2022-01-12 09:00:00,175.48427,0.518462,3.7491083,1.2992579,59.836872
2022-01-12 10:00:00,174.18343,0.6266395,3.5113657,1.2935723,61.084484
2022-01-12 11:00:00,172.74573,0.6388258,3.3359575,1.2813824,62.230083
2022-01-12 12:00:00,171.4604,0.58939207,3.2962632,1.2779573,63.226265
2022-01-12 13:00:00,170.87296,0.49901104,3.3775444,1.2703646,64.01028
2022-01-12 14:00:00,171.17467,0.3852283,3.6252913,1.2718172,64.29239
2022-01-12 15:00:00,172.64929,0.2576856,4.000472,1.2803862,64.06672
2022-01-12 16:00:00,174.93213,0.15941082,4.464432,1.2953821,63.38148
2022-01-12 17:00:00,177.56348,0.120245814,4.835347,1.3170427,62.419285
2022-01-12 18:00:00,179.82652,0.11776588,4.987089,1.3442321,61.633522
2022-01-12 19:00:00,181.45122,0.117487974,4.9270215,1.363012,61.048035
2022-01-12 20:00:00,182.03888,0.10800011,4.7658772,1.3690436,60.786755
2022-01-12 21:00:00,181.72273,0.09591248,4.532288,1.3702359,60.63351
2022-01-12 22:00:00,181.07774,0.08058324,4.293678,1.3592976,60.595795
2022-01-12 23:00:00,179.57428,0.06450466,4.0598845,1.3370405,60.51255
2022-01-13 00:00:00,178.21085,0.050929263,3.819159,1.305185,60.408245
2022-01-13 01:00:00,176.65976,0.038490403,3.5987878,1.2926118,60.392048
2022-01-13 02:00:00,175.55528,0.031708345,3.4263396,1.2828335,60.38849
2022-01-13 03:00:00,174.57152,0.027859135,3.2974048,1.2693359,60.302994
2022-01-13 04:00:00,173.78697,0.028285861,3.2667189,1.272121,60.254284
2022-01-13 05:00:00,173.95052,0.039402194,3.3609192,1.3016192,60.064217
2022-01-13 06:00:00,174.2091,0.083357684,3.5733776,1.3367463,59.871918
2022-01-13 07:00:00,174.50885,0.19588514,3.835759,1.3644339,59.84548
2022-01-13 08:00:00,173.84717,0.37854058,3.899643,1.3839768,60.126987
2022-01-13 09:00:00,172.523,0.5878296,3.685667,1.3794845,60.909294
2022-01-13 10:00:00,171.37512,0.7097131,3.431962,1.3737838,62.190403
2022-01-13 11:00:00,170.07957,0.72453743,3.2903116,1.3536807,63.365734
2022-01-13 12:00:00,169.25386,0.68444633,3.2526207,1.3355455,64.40455
2022-01-13 13:00:00,168.75237,0.58629036,3.3544996,1.3212975,65.23982
2022-01-13 14:00:00,168.74959,0.467673,3.5919209,1.3071684,65.62391
2022-01-13 15:00:00,169.7299,0.3239599,3.9339223,1.3042873,65.56522
2022-01-13 16:00:00,171.7894,0.1833352,4.373366,1.2996683,64.97301
2022-01-13 17:00:00,174.513,0.1258687,4.735196,1.3040173,64.21857
2022-01-13 18:00:00,176.41101,0.1268118,4.852294,1.3024366,63.407715
2022-01-13 19:00:00,177.81297,0.12996446,4.7845454,1.3042473,62.987476
2022-01-13 20:00:00,178.39331,0.123279415,4.6101513,1.2962675,62.7376
2022-01-13 21:00:00,178.33948,0.115297794,4.3748455,1.269514,62.691578
2022-01-13 22:00:00,177.89485,0.103964396,4.1184464,1.2384223,62.62798
2022-01-13 23:00:00,176.44017,0.08800538,3.8390243,1.2025123,62.58596
2022-01-14 00:00:00,174.9676,0.069947235,3.583435,1.1703693,62.665855
2022-01-14 01:00:00,173.80115,0.059254516,3.35593,1.1610469,62.70779
2022-01-14 02:00:00,172.9652,0.05228664,3.1663983,1.1387603,62.56883
2022-01-14 03:00:00,172.14522,0.04742542,3.021393,1.11661,62.582108
2022-01-14 04:00:00,171.64522,0.04447271,2.9582915,1.1165229,62.432964
2022-01-14 05:00:00,171.61253,0.050462853,3.0254145,1.1286006,62.273006
2022-01-14 06:00:00,172.2531,0.0892571,3.2494357,1.1498932,62.01749
2022-01-14 07:00:00,172.07553,0.18359953,3.5381315,1.1755261,61.891518
2022-01-14 08:00:00,172.075,0.37157407,3.694216,1.179531,62.05406
2022-01-14 09:00:00,170.92178,0.62247217,3.5279813,1.1697911,62.695156
2022-01-14 10:00:00,169.70517,0.77501124,3.2990983,1.1583519,63.787033
2022-01-14 11:00:00,168.188,0.80828136,3.128898,1.1308275,64.876656
2022-01-14 12:00:00,167.02522,0.7756438,3.0407288,1.1130632,65.83877
2022-01-14 13:00:00,166.84178,0.69632286,3.1262465,1.1074935,66.60621
2022-01-14 14:00:00,166.87675,0.5807102,3.3453808,1.1131955,66.93529
2022-01-14 15:00:00,167.86139,0.4222923,3.7185693,1.1194615,66.70629
2022-01-14 16:00:00,170.16566,0.2613856,4.199756,1.1283847,65.91075
2022-01-14 17:00:00,172.86746,0.19576003,4.6155415,1.1485214,64.839874
2022-01-14 18:00:00,174.5885,0.21157151,4.7927446,1.1746489,63.838177
2022-01-14 19:00:00,175.74153,0.22398868,4.7588916,1.1964384,63.11083
